N,종목명,현재가,전일비,등락률,액면가,부채총계,영업이익,주당순이익
155.0,OCI홀딩스,105700.0,100.0,+0.09%,5000.0,27341.0,9767.0,40209.0
156.0,롯데정밀화학,66200.0,200.0,-0.30%,5000.0,4156.0,4043.0,11702.0
157.0,이수스페셜티케미컬,310000.0,2500.0,-0.80%,5000.0,,,
158.0,KCC,189500.0,2900.0,-1.51%,5000.0,75673.0,4677.0,3986.0
159.0,HD현대건설기계,85300.0,2000.0,+2.40%,5000.0,17813.0,1706.0,6673.0
160.0,덴티움,151500.0,700.0,-0.46%,500.0,3014.0,1257.0,8014.0
161.0,대한전선,13310.0,270.0,-1.99%,1000.0,7381.0,482.0,163.0
162.0,JB금융지주,8220.0,60.0,-0.72%,5000.0,550652.0,8258.0,3034.0
163.0,TIGER 미국테크TOP10 INDXX,13520.0,5.0,+0.04%,0.0,,,
164.0,CJ대한통운,69800.0,1600.0,-2.24%,5000.0,56590.0,4118.0,8730.0
165.0,대우건설,3815.0,110.0,-2.80%,5000.0,74157.0,7600.0,1029.0
166.0,TIGER 미국필라델피아반도체나스닥,12495.0,75.0,-0.60%,0.0,,,
167.0,삼아알미늄,106800.0,1900.0,+1.81%,500.0,1502.0,226.0,1250.0
168.0,현대엘리베이,39450.0,400.0,+1.02%,5000.0,18477.0,430.0,7413.0
169.0,대덕전자,30750.0,450.0,-1.44%,500.0,3368.0,2325.0,3082.0
170.0,오뚜기,378000.0,8000.0,-2.07%,5000.0,16222.0,1857.0,67769.0
171.0,TIGER 2차전지테마,32370.0,515.0,+1.62%,0.0,,,
172.0,KG모빌리티,7970.0,290.0,-3.51%,5000.0,9090.0,-1120.0,-122.0
173.0,효성티앤씨,339500.0,5500.0,-1.59%,5000.0,28044.0,1236.0,-5804.0
174.0,하이트진로,20750.0,50.0,-0.24%,5000.0,21724.0,1906.0,1009.0
175.0,한전KPS,31950.0,250.0,+0.79%,200.0,3463.0,1306.0,2785.0
176.0,두산,85500.0,1000.0,-1.16%,5000.0,160175.0,11260.0,-33734.0
177.0,솔루엠,27500.0,600.0,-2.14%,500.0,7443.0,756.0,1650.0
178.0,코오롱인더,49950.0,1750.0,-3.38%,5000.0,32704.0,2425.0,3960.0
179.0,LX인터내셔널,34750.0,800.0,-2.25%,5000.0,46825.0,9655.0,12544.0
180.0,금호타이어,4600.0,85.0,-1.81%,5000.0,34504.0,231.0,-202.0
181.0,KODEX 삼성그룹,9105.0,155.0,-1.67%,0.0,,,
182.0,솔루스첨단소재,37200.0,650.0,-1.72%,100.0,5429.0,-452.0,-500.0
183.0,TIGER MSCI Korea TR,14275.0,190.0,-1.31%,0.0,,,
184.0,KODEX 2차전지산업,29100.0,260.0,+0.90%,0.0,,,
185.0,녹십자,108800.0,2800.0,-2.51%,5000.0,9589.0,813.0,3133.0
186.0,KODEX 단기채권PLUS,107020.0,10.0,+0.01%,0.0,,,
187.0,KBSTAR 200,33510.0,495.0,-1.46%,0.0,,,
188.0,DGB금융지주,7190.0,50.0,-0.69%,5000.0,848002.0,6072.0,2408.0
189.0,명신산업,22950.0,2000.0,-8.02%,500.0,5455.0,1269.0,2034.0
190.0,에스디바이오센서,11520.0,230.0,-1.96%,500.0,3151.0,11466.0,2065.0
191.0,효성,57000.0,100.0,+0.18%,5000.0,23700.0,649.0,-1514.0
192.0,DL이앤씨,30850.0,1050.0,-3.29%,5000.0,42822.0,4970.0,9366.0
193.0,SK네트웍스,5050.0,100.0,-1.94%,2500.0,70485.0,1542.0,251.0
194.0,현대백화점,50800.0,600.0,-1.17%,5000.0,57020.0,3209.0,5904.0
195.0,후성,12510.0,140.0,-1.11%,500.0,5185.0,1054.0,628.0
196.0,GS건설,13750.0,770.0,-5.30%,5000.0,115904.0,5548.0,3896.0
197.0,KBSTAR 종합채권(A-이상)액티브,96700.0,230.0,-0.24%,0.0,,,
198.0,영풍제지,24850.0,350.0,+1.43%,500.0,671.0,78.0,120.0
199.0,제주항공,14840.0,260.0,-1.72%,1000.0,13570.0,-1775.0,-915.0
200.0,효성중공업,121900.0,800.0,+0.66%,5000.0,35903.0,1432.0,1730.0
201.0,롯데칠성,121700.0,1000.0,-0.81%,500.0,22838.0,2229.0,12093.0
202.0,한국앤컴퍼니,11860.0,170.0,-1.41%,500.0,4454.0,2452.0,1647.0
203.0,SK케미칼,65000.0,2000.0,-2.99%,5000.0,12368.0,2305.0,8701.0
204.0,풍산,40000.0,150.0,-0.37%,5000.0,15531.0,2316.0,6636.0
205.0,일진하이솔루스,30750.0,500.0,-1.60%,500.0,278.0,28.0,255.0
206.0,SK가스,120900.0,2100.0,-1.71%,5000.0,34909.0,3905.0,29264.0
207.0,SK오션플랜트,20850.0,250.0,+1.21%,500.0,6940.0,719.0,727.0
208.0,TCC스틸,41600.0,1450.0,+3.61%,1000.0,2987.0,440.0,228.0
209.0,애경케미칼,22150.0,2450.0,+12.44%,500.0,5059.0,951.0,1152.0
210.0,TIGER TOP10,11235.0,220.0,-1.92%,0.0,,,
211.0,대웅제약,92400.0,500.0,+0.54%,2500.0,8221.0,958.0,3800.0
212.0,한국콜마,46700.0,900.0,+1.97%,500.0,14638.0,733.0,-1144.0
213.0,해성디에스,62700.0,300.0,-0.48%,5000.0,2123.0,2044.0,8641.0
214.0,영원무역홀딩스,77200.0,600.0,-0.77%,500.0,15036.0,10022.0,34436.0
215.0,OCI,140500.0,4000.0,+2.93%,5000.0,,,
216.0,동원시스템즈,35450.0,350.0,-0.98%,5000.0,7220.0,918.0,2430.0
217.0,한올바이오파마,19630.0,520.0,-2.58%,500.0,452.0,15.0,-18.0
218.0,PI첨단소재,34550.0,350.0,-1.00%,500.0,1575.0,521.0,879.0
219.0,코스맥스,89000.0,600.0,-0.67%,500.0,9522.0,531.0,1081.0
220.0,한샘,42500.0,0.0,0.00%,1000.0,6543.0,-217.0,-4395.0
221.0,SK리츠,5080.0,80.0,+1.60%,500.0,21525.0,225.0,19.0
222.0,TIGER 단기통안채,103835.0,0.0,0.00%,0.0,,,
223.0,영풍,529000.0,13000.0,-2.40%,5000.0,14685.0,689.0,169566.0
224.0,종근당,77000.0,1800.0,-2.28%,2500.0,5036.0,1099.0,7907.0
225.0,비에이치,28050.0,50.0,-0.18%,500.0,4293.0,1313.0,4071.0
226.0,아이에스동서,31250.0,450.0,-1.42%,500.0,21317.0,3451.0,8182.0
227.0,롯데렌탈,26050.0,1050.0,-3.87%,5000.0,56310.0,3084.0,2699.0
228.0,DN오토모티브,95100.0,700.0,+0.74%,500.0,34601.0,4215.0,22589.0
229.0,코리안리,6670.0,40.0,-0.60%,500.0,121587.0,1925.0,1638.0
230.0,롯데웰푸드,98100.0,1400.0,-1.41%,500.0,19936.0,1124.0,5913.0
231.0,LG전자우,53500.0,600.0,-1.11%,5000.0,,,2439.0
232.0,삼양식품,121700.0,500.0,+0.41%,5000.0,4702.0,904.0,11027.0
233.0,세아베스틸지주,25350.0,200.0,-0.78%,5000.0,18467.0,1279.0,3170.0
234.0,TIGER KOFR금리액티브(합성),102120.0,30.0,+0.03%,0.0,,,
235.0,GKL,14370.0,220.0,-1.51%,500.0,2271.0,-139.0,156.0
236.0,롯데리츠,3635.0,5.0,-0.14%,500.0,12561.0,341.0,115.0
237.0,오리온홀딩스,14060.0,230.0,-1.61%,500.0,9772.0,3998.0,1651.0
238.0,아시아나항공,11780.0,170.0,-1.42%,5000.0,127397.0,5988.0,752.0
239.0,KG스틸,8720.0,190.0,-2.13%,5000.0,13613.0,3404.0,5212.0
240.0,더존비즈온,28600.0,500.0,-1.72%,500.0,3944.0,455.0,696.0
241.0,대한유화,132500.0,2500.0,-1.85%,5000.0,3339.0,-2146.0,-26017.0
242.0,TKG휴켐스,21000.0,100.0,-0.47%,1000.0,2012.0,1171.0,2446.0
243.0,KODEX 단기채권,106365.0,10.0,-0.01%,0.0,,,
244.0,진에어,16290.0,120.0,-0.73%,1000.0,6629.0,-673.0,796.0
245.0,조선내화,21200.0,0.0,0.00%,500.0,7934.0,226.0,721.0
246.0,HSD엔진,11810.0,450.0,+3.96%,1000.0,7346.0,-295.0,-447.0
247.0,넥센타이어,8620.0,0.0,0.00%,500.0,23481.0,-543.0,90.0
248.0,미원상사,171300.0,800.0,-0.46%,500.0,738.0,770.0,14080.0
249.0,ESR켄달스퀘어리츠,3885.0,115.0,-2.87%,1000.0,11191.0,225.0,209.0
250.0,KODEX 코스닥150레버리지,11255.0,45.0,-0.40%,0.0,,,
251.0,미원에스씨,160100.0,800.0,-0.50%,500.0,969.0,809.0,10205.0
252.0,한일시멘트,11730.0,170.0,-1.43%,500.0,8858.0,1180.0,1525.0
253.0,TIGER 200 IT,32215.0,500.0,-1.53%,0.0,,,
254.0,NHN,23100.0,500.0,-2.12%,500.0,10328.0,391.0,-167.0
255.0,제이알글로벌리츠,4080.0,40.0,-0.97%,1000.0,11065.0,269.0,205.0
256.0,신풍제약,15190.0,10.0,-0.07%,500.0,308.0,-340.0,-672.0
257.0,세아제강지주,191000.0,4100.0,-2.10%,5000.0,15913.0,5672.0,79780.0
258.0,한세실업,19760.0,10.0,+0.05%,500.0,7021.0,1796.0,1957.0
259.0,SNT모티브,54000.0,900.0,-1.64%,5000.0,3465.0,1119.0,6465.0
260.0,하나투어,49100.0,1300.0,-2.58%,500.0,3557.0,-1012.0,-2065.0
261.0,KODEX 인버스,4615.0,65.0,+1.43%,0.0,,,
262.0,다우기술,17400.0,170.0,-0.97%,500.0,440716.0,7187.0,9716.0
263.0,DL,37050.0,1200.0,-3.14%,5000.0,74000.0,2807.0,-2930.0
264.0,삼부토건,3910.0,380.0,+10.76%,1000.0,3296.0,-630.0,-392.0
265.0,이노션,38550.0,50.0,-0.13%,500.0,14162.0,1369.0,3863.0
266.0,경동나비엔,52700.0,100.0,+0.19%,1000.0,5003.0,598.0,4490.0
267.0,더블유게임즈,41200.0,100.0,-0.24%,500.0,2293.0,1839.0,-6470.0
268.0,율촌화학,30200.0,300.0,+1.00%,500.0,3193.0,-46.0,-91.0
269.0,F&F홀딩스,19060.0,660.0,-3.35%,500.0,7061.0,4862.0,3585.0
270.0,롯데관광개발,10060.0,180.0,-1.76%,500.0,15711.0,-1187.0,-3721.0
271.0,KODEX 자동차,19510.0,145.0,-0.74%,0.0,,,
272.0,자화전자,32950.0,50.0,-0.15%,500.0,1626.0,-117.0,-2865.0
273.0,화신,20350.0,650.0,-3.10%,500.0,6478.0,874.0,2316.0
274.0,드림텍,10430.0,340.0,+3.37%,100.0,3237.0,967.0,557.0
275.0,애경산업,26600.0,100.0,-0.37%,1000.0,1237.0,390.0,1008.0
276.0,KODEX 코스닥150선물인버스,3945.0,0.0,0.00%,0.0,,,
277.0,대웅,12060.0,100.0,-0.82%,500.0,8794.0,2073.0,2022.0
278.0,HDC현대산업개발,10610.0,130.0,-1.21%,5000.0,44345.0,1164.0,2526.0
279.0,ACE 종합채권(AA-이상)KIS액티브,95190.0,240.0,-0.25%,0.0,,,
280.0,KCC글라스,43700.0,150.0,-0.34%,1000.0,7670.0,1192.0,5353.0
281.0,KBSTAR 머니마켓액티브,50340.0,5.0,+0.01%,0.0,,,
282.0,KG케미칼,49300.0,50.0,-0.10%,5000.0,37410.0,5011.0,22167.0
283.0,세방전지,48600.0,200.0,+0.41%,500.0,4310.0,811.0,2959.0
284.0,케이카,14130.0,200.0,+1.44%,500.0,2885.0,500.0,637.0
285.0,태광산업,605000.0,9000.0,-1.47%,5000.0,7022.0,-1221.0,300982.0
286.0,대신증권,13190.0,290.0,-2.15%,5000.0,184878.0,2535.0,1152.0
287.0,SK디스커버리,34400.0,0.0,0.00%,5000.0,58268.0,3622.0,19968.0
288.0,KODEX MSCI Korea TR,11375.0,135.0,-1.17%,0.0,,,
289.0,ARIRANG 200,33770.0,505.0,-1.47%,0.0,,,
290.0,한국단자,61400.0,1300.0,-2.07%,500.0,4195.0,643.0,5906.0
291.0,KODEX Fn Top10동일가중,8020.0,80.0,-0.99%,0.0,,,
292.0,TIGER 차이나항셍테크,5630.0,25.0,-0.44%,0.0,,,
293.0,녹십자홀딩스,13370.0,540.0,-3.88%,500.0,16250.0,712.0,184.0
294.0,KOSEF 국고채10년,109145.0,465.0,-0.42%,0.0,,,
295.0,미래에셋생명,3535.0,25.0,+0.71%,5000.0,359218.0,880.0,719.0
296.0,대한해운,1960.0,32.0,-1.61%,500.0,27061.0,2677.0,415.0
297.0,티웨이항공,3095.0,75.0,-2.37%,500.0,9831.0,-1039.0,-175.0
298.0,서연이화,22950.0,1150.0,-4.77%,500.0,11734.0,1507.0,2987.0
299.0,우리종금,704.0,9.0,-1.26%,500.0,49824.0,1230.0,91.0
300.0,KBSTAR 23-11 회사채(AA-이상)액티브,51630.0,15.0,+0.03%,0.0,,,
301.0,삼양홀딩스,71000.0,1200.0,-1.66%,5000.0,20243.0,1323.0,5477.0
302.0,이엔플러스,9290.0,410.0,+4.62%,500.0,555.0,-132.0,-763.0
303.0,신세계인터내셔날,16670.0,90.0,-0.54%,1000.0,4450.0,1153.0,2812.0
304.0,LX홀딩스,7710.0,140.0,-1.78%,1000.0,239.0,1589.0,596.0
305.0,KODEX Top5PlusTR,17450.0,175.0,-0.99%,0.0,,,
306.0,TIGER 24-10 회사채(A+이상)액티브,52780.0,30.0,-0.06%,0.0,,,
307.0,KODEX 미국S&P500TR,12935.0,35.0,-0.27%,0.0,,,
308.0,이수화학,25800.0,400.0,-1.53%,5000.0,7826.0,360.0,310.0
309.0,SPC삼립,66800.0,700.0,-1.04%,5000.0,9063.0,895.0,6252.0
310.0,동양생명,3570.0,30.0,-0.83%,5000.0,355107.0,1299.0,987.0
311.0,대상,16480.0,240.0,-1.44%,1000.0,18676.0,1400.0,1868.0
312.0,ACE 미국S&P500,14580.0,45.0,-0.31%,0.0,,,
313.0,쿠쿠홀딩스,15900.0,30.0,-0.19%,100.0,1818.0,879.0,3346.0
314.0,KOSEF 200TR,41260.0,675.0,-1.61%,0.0,,,
